Regionname,Year,Price
Northern Metropolitan,2016,"$43,080,500.00"
Northern Metropolitan,2017,"$9,177,000.00"
Western Metropolitan,2016,"$19,332,500.00"
Western Metropolitan,2017,"$3,925,000.00"
